Card Name,Rarity,Card Color,Card Cost,Card Type,Card Sub-Type,Card Text,Attack,Defense,Other,Notes,
"Lao, Grand Adjudicator",Legend,Chiffon,8,Unit,Unique Character - Apostle,"Entrance: Pin all other Units.
 
 All enemy Units lose all ability text.
 
 If this card would leave play or change control, Reincarnate this card. 
 
 ""Judgement is eternal.""",3,8,"Frontier
 
 1 Card Limit",,
Temer Battalion,Legend,Chiffon,5,Unit,Ship,When this card is damaged it gains Untouchable until the end of the next turn.,3,5,3 Card Limit,,
Peace Keepers,Legend,Chiffon,5,Unit,Unit,"After combat, Pin Units that were damaged by this card. 
 
 Last Stand, Put a Hussar Peace Keepers from your Deck into your Hand.
 
 ""Peace is what we fight for.""",1,6,3 Card Limit,,
Faith Justicar,Epic,Chiffon,4,Unit,Ship,"Reconstruct
 
 ""Revenge and reconcilliation.""",3,6,3 Card Limit,,
Faith Apostle,Epic,Chiffon,4,Unit,Ship,4 Activate: Summon 1 untouchable to each lane. ,2,4,2,,
Faith Chargers,Epic,Chiffon,3,Unit,Ship,"Entrance: You may summon a Faith Chargers from your hand or discard pile to the other lane.
 
 Elude",1,3,3 Card Limit,,Not good for UI
Patriarchs of the Faith,Epic,Chiffon,4,Unit,Apostle,"3 Activate: Summon a Neophyte of the Faith to each lane. 
 
 Reconstruct",1,4,3 Card Limit,,
Faith Truth Teller,Epic,Chiffon,4,Unit,Apostle,(1) Activate: Your units gain 1 attack.,1,4,3 Card Limit,,
Scapegoats,Epic,Chiffon,2,Unit,Defense,"Last Stand, Put a Scapegoats from your Deck into your hand.
 
 Last Stand, Reincarnate this card (Add it to the Deck).
 
 We know our place.",1,1,3 Card Limit,,
Preacher,Rare,Chiffon,4,Unit,Apostle,Entrance: Summon two Untouchables.,2,1,3 Card Limit,,
Faith Hussar,Rare,Chiffon,3,Unit,Ship,Elude,1,5,3 Card Limit,,
,Rare,Chiffon,3,Unit,Apostle,"When this card is healed, draw 1 card. 
 
 Reconstruct",2,3,3 Card Limit,,
,,,,,,,,,,,
Untouchables,Rare,Chiffon,2,Unit,Apostle,"Untouchable
 
 Elude
 
 Hissing sounds",2,1,3 Card Limit,,
,,,,,,,,,,,
Faith Sadist,Common,Chiffon,5,Unit,Apostle,Entrance: Sacrifice a creature. Deal 3 damage to an enemy creature.,3,3,3 Card Limit,,
Bearer of the Texts,Common,Chiffon,4,Unit,,Sentry,3,5,3 Card Limit,,
Faith Arbiter,Common,Chiffon,4,Unit,Apostle,Entrance: Both players sacrifice a unit.,2,2,3 Card Limit,,
Faith Masochist,Common,Chiffon,3,Unit,Apostle,"Entrance: This card deals 4 damage to itself. 
 
 Reconstruct",2,6,3 Card Limit,,
Hand of Fate,Common,Chiffon,3,Unit,Defense,"""We wait for judgement.""",2,6,3 Card Limit,,
,,,,,,,,,,,
Breaking Expert,Common,Chiffon,3,Unit,Apostle,Entrance: Add 2 Untouchables to your hand.,3,1,3 Card Limit,,
Sinner,Common,Chiffon,2,Unit,Apostle,Entrance: Each player discards a card of their choice.,3,1,3 Card Limit,,
Crusader,Common,Chiffon,2,Unit,Apostle,Elude,3,2,3 Card Limit,,
,,,,,,,,,,,
Banner Carrier,Common,Chiffon,2,Unit,Apostle,Sentry,2,3,3 Card Limit,,
Conscience Auditor,Common,Chiffon,2,Unit,Apostle,1 Activate: Retreat a unit.,1,4,3 Card Limit,,
Neophyte of the Faith,Common,Chiffon,1,Unit,Apostle,"""They learn young.""",2,2,3 Card Limit,,
Calm Spinner,Common,Chiffon,1,Unit,Apostle,3 Activate: A units attack becomes 1.,1,2,3 Card Limit,,
Missionary Scout,Common,Chiffon,1,Unit,Apostle,Untouchable,1,1,3 Card Limit,,
Eternal Judgement,Legend,Chiffon,6,Tactic,,"Remove all Units from play.
 
 We will all be judged - Lao, Grand Adjudicator",,,1 Card Limit,,
Decree Surrender,Legend,Chiffon,4,Tactic,,The Attack of all Unites becomes 1.,,,3 Card Limit,,
